advance_ratio,theta75_deg,cyclicLong_deg,CT_legacy,CT_adapter,CQ_legacy,CQ_adapter,dCT,dCQ,dBeta0,dBeta1c,dBeta1s,legacyPhysical,adapterPhysical
0.125,1.8464,-0.42422,0.00289741204396343,0.00289741204396343,0.000251184606570302,0.000251184606570302,-1.30104260698261e-18,-5.42101086242752e-20,-4.87890977618477e-18,3.25260651745651e-18,-5.20417042793042e-18,1,1
0.15,3.6963,-1.1902,0.00517704849877481,0.00517704849877481,0.000268703008931373,0.000268703008931373,0,5.42101086242752e-20,3.46944695195361e-18,-1.28206906896411e-17,5.20417042793042e-18,1,1
0.2,3.3244,-1.5296,0.00512613498976122,0.00512613498976122,0.000286260671526482,0.000286260671526482,3.46944695195361e-18,5.42101086242752e-20,1.38777878078145e-17,-2.6112966972666e-17,3.46944695195361e-18,1,1
